Food_Code,Food_Desc
11000000,"Milk, human"
11100000,"Milk, NFS"
11111000,"Milk, cow's, fluid, whole"
11111100,"Milk, cow's, fluid, whole, low-sodium"
11111150,"Milk, calcium fortified, cow's, fluid, whole"
11111160,"Milk, calcium fortified, cow's, fluid, 1% fat"
11111170,"Milk, calcium fortified, cow's, fluid, skim or nonfat"
11112000,"Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", N"
11112110,"Milk, cow's, fluid, 2% fat"
11112120,"Milk, cow's, fluid, acidophilus, 1% fat"
11112130,"Milk, cow's, fluid, acidophilus, 2% fat"
11112210,"Milk, cow's, fluid, 1% fat"
11113000,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"
11114300,"Milk, cow's, fluid, lactose reduced, 1% fat"
11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"
11114320,"Milk, cow's, fluid, lactose reduced, nonfat"
11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"
11114330,"Milk, cow's, fluid, lactose reduced, 2% fat"
11114350,"Milk, cow's, fluid, lactose reduced, whole"
11115000,"Buttermilk, fluid, nonfat"
11115100,"Buttermilk, fluid, 1% fat"
11115200,"Buttermilk, fluid, 2% fat"
11115300,"Buttermilk, fluid, whole"
11116000,"Milk, goat's, fluid, whole"
11120000,"Milk, dry, reconstituted, NFS"
11121100,"Milk, dry, reconstituted, whole"
11121210,"Milk, dry, reconstituted, lowfat"
11121300,"Milk, dry, reconstituted, nonfat"
11210000,"Milk, evaporated, NS as to fat content and dilution"
11210050,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undilu"
11210100,"Milk, evaporated, NS as to fat content, undiluted"
11210200,"Milk, evaporated, NS as to fat content, diluted"
11211000,"Milk, evaporated, whole, NS as to dilution"
11211050,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)"
11211100,"Milk, evaporated, whole, undiluted"
11211200,"Milk, evaporated, whole, diluted"
11211400,"Milk, evaporated, 2% fat (formerly NS as to dilution)"
11211500,"Milk, evaporated, 2% fat, undiluted"
11212000,"Milk, evaporated, skim, NS as to dilution"
11212050,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)"
11212100,"Milk, evaporated, skim, undiluted"
11220000,"Milk, condensed, sweetened (formerly NS as to dilution)"
11220100,"Milk, condensed, sweetened, undiluted"
11220200,"Milk, condensed, sweetened, diluted"
11310000,"Milk, imitation, fluid, soy based"
11320000,"Milk, soy, ready-to-drink, not baby's"
11320100,"Milk, soy, light, ready-to-drink, not baby's"
11320200,"Milk, soy, nonfat, ready-to-drink, not baby's"
11321000,"Milk, soy, ready-to-drink, not baby's, chocolate"
11321100,"Milk, soy, light, ready-to-drink, not baby's, chocolate"
11321200,"Milk, soy, nonfat, ready-to-drink, not baby's, chocolate"
11330000,"Milk, soy, dry, reconstituted, not baby's"
11340000,"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate"
11410000,"Yogurt, NS as to type of milk or flavor"
11411010,"Yogurt, plain, NS as to type of milk"
11411100,"Yogurt, plain, whole milk"
11411200,"Yogurt, plain, lowfat milk"
11411300,"Yogurt, plain, nonfat milk"
11420000,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk"
11421000,"Yogurt, vanilla, lemon, or coffee flavor, whole milk"
11422000,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk"
11422100,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener"
11423000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk"
11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener"
11425000,"Yogurt, chocolate, NS as to type of milk"
11426000,"Yogurt, chocolate, whole milk"
11427000,"Yogurt, chocolate, nonfat milk"
11430000,"Yogurt, fruit variety, NS as to type  of milk"
11431000,"Yogurt, fruit variety, whole milk"
11432000,"Yogurt, fruit variety, lowfat milk"
11432500,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener"
11433000,"Yogurt, fruit variety, nonfat milk"
11433500,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"
11445000,"Yogurt, fruit and nuts, lowfat milk"
11446000,Fruit and lowfat yogurt parfait
11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk"
11460000,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
11460100,"Yogurt, frozen, chocolate, NS as to type of milk"
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk"
11460160,"Yogurt, frozen, chocolate, lowfat milk"
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk"
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk"
11460200,"Yogurt, frozen, chocolate, nonfat milk"
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk"
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
11460420,"Yogurt, frozen, NS as to flavor, whole milk"
11460430,"Yogurt, frozen, chocolate, whole milk"
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk"
11461000,"Yogurt, frozen, chocolate-coated"
11461200,"Yogurt, frozen, sandwich"
11461250,"Yogurt, frozen, cone, chocolate"
11461260,"Yogurt, frozen, cone, flavors other than chocolate"
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk"
11480010,"Yogurt, whole milk, baby food"
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
11511000,"Milk, chocolate, NFS"
11511100,"Milk, chocolate, whole milk-based"
11511200,"Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"")"
11511300,"Milk, chocolate, skim milk-based"
11511400,"Milk, chocolate, lowfat milk-based"
11512000,"Cocoa, hot chocolate, not from dry mix, made with whole milk"
11512500,"Hot chocolate, Puerto Rican style, made with whole milk"
11512510,"Hot chocolate, Puerto Rican style, made with low fat milk"
11513000,"Cocoa and sugar mixture, milk added, NS as to type of milk"
11513100,"Cocoa and sugar mixture, whole milk added"
11513150,"Cocoa and sugar mixture, reduced fat milk added"
11513200,"Cocoa and sugar mixture, lowfat milk added"
11513300,"Cocoa and sugar mixture, skim milk added"
11513400,"Chocolate syrup, milk added, NS as to type of milk"
11513500,"Chocolate syrup, whole milk added"
11513550,"Chocolate syrup, reduced fat milk added"
11513600,"Chocolate syrup, lowfat milk added"
11513700,"Chocolate syrup, skim milk added"
11514100,"Cocoa, sugar, and dry milk mixture, water added"
11514300,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"
11514500,"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"
11516000,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"
11518000,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate"
11518050,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"
11518100,"Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate"
11519000,"Milk beverage, made with whole milk, flavors other than chocolate"
11519040,"Milk, flavors other than chocolate, NFS"
11519050,"Milk, flavors other than chocolate, whole milk-based"
11519105,"Milk, flavors other than chocolate, reduced fat milk-based"
11519200,"Milk, flavors other than chocolate, lowfat milk-based"
11519205,"Milk, flavors other than chocolate, skim-milk based"
11520000,"Milk, malted, unfortified, NS as to flavor, made with milk"
11521000,"Milk, malted, unfortified, chocolate, made with milk"
11522000,"Milk, malted, unfortified, natural flavor, made with milk"
11525000,"Milk, malted, fortified, natural flavor, made with milk"
11526000,"Milk, malted, fortified, chocolate, made with milk"
11527000,"Milk, malted, fortified, NS as to flavor, made with milk"
11531000,"Eggnog, made with whole milk"
11531500,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)"
11541000,"Milk shake, NS as to flavor or type"
11541100,"Milk shake, homemade or fountain-type, NS as to flavor"
11541110,"Milk shake, homemade or fountain-type, chocolate"
11541120,"Milk shake, homemade or fountain-type, flavors other than chocolate"
11541400,Milk shake with malt
11541500,"Milk shake, made with skim milk, chocolate"
11541510,"Milk shake, made with skim milk, flavors other than chocolate"
11542100,"Carry-out milk shake, chocolate"
11542200,"Carry-out milk shake, flavors other than chocolate"
11551050,Milk fruit drink
11552200,Orange Julius
11553000,"Fruit smoothie drink, made with fruit or fruit juice and dairy products"
11553100,"Fruit smoothie drink, NFS"
11560000,"Chocolate-flavored drink, whey- and milk-based"
11560020,"Flavored milk drink, whey- and milk-based, flavors other than chocolate"
11561000,Cafe con leche
11561010,Cafe con leche prepared with sugar
11611000,"Instant breakfast, fluid, canned"
11612000,"Instant breakfast, powder, milk added"
11613000,"Instant breakfast, powder, sweetened with low calorie sweetener, milk added"
11621000,"Diet beverage, liquid, canned"
11623000,"Meal supplement or replacement, commercially prepared, ready-to-drink"
11631000,"High calorie beverage, canned or powdered, reconstituted"
11641000,"Meal supplement or replacement, milk-based, high protein, liquid"
11641020,"Meal replacement or supplement, milk based, ready-to-drink"
