Food_Code,Ingredient_Num,FCID_Code
11000000,1,3700222501
11100000,1,3600224000
11100000,2,3600223000
11100000,3,3600222000
11111000,1,3600224000
11111000,2,3600223000
11111000,3,3600222000
11111100,1,3600224000
11111100,2,3600223000
11111100,3,3600222000
11111150,1,3600224000
11111150,2,3600223000
11111150,3,3600222000
11111160,1,3600224000
11111160,2,3600223000
11111160,3,3600222000
11111170,1,3600224000
11111170,2,3600223000
11111170,3,3600222000
11112000,1,3600224000
11112000,2,3600223000
11112000,3,3600222000
11112110,1,3600224000
11112110,2,3600223000
11112110,3,3600222000
11112120,1,3600224000
11112120,2,3600223000
11112120,3,3600222000
11112130,1,3600224000
11112130,2,3600223000
11112130,3,3600222000
11112210,1,3600224000
11112210,2,3600223000
11112210,3,3600222000
11113000,1,3600224000
11113000,2,3600223000
11113000,3,3600222000
11114300,1,3600224000
11114300,2,3600223000
11114300,3,3600222000
11114310,1,3600224000
11114310,2,3600223000
11114310,3,3600222000
11114320,1,3600224000
11114320,2,3600223000
11114320,3,3600222000
11114321,1,3600224000
11114321,2,3600223000
11114321,3,3600222000
11114330,1,3600224000
11114330,2,3600223000
11114330,3,3600222000
11114350,1,3600224000
11114350,2,3600223000
11114350,3,3600222000
11115000,1,3600224000
11115000,2,3600223000
11115000,3,3600222000
11115100,1,3600224000
11115100,2,3600223000
11115100,3,3600222000
11115200,1,3600224000
11115200,2,3600223000
11115200,3,3600222000
11115300,1,3600224000
11115300,2,3600223000
11115300,3,3600222000
11116000,1,3600224000
11116000,2,3600223000
11116000,3,3600222000
11120000,1,8602000000
11120000,2,3600223000
11120000,3,3600224000
11120000,4,3600222000
11121100,1,8602000000
11121100,2,3600223000
11121100,3,3600222000
11121100,4,3600224000
11121210,1,8602000000
11121210,2,3600223000
11121210,3,3600224000
11121210,4,3600222000
11121300,1,8602000000
11121300,2,3600223000
11121300,3,3600224000
11121300,4,3600222000
11210000,1,8602000000
11210000,2,3600224000
11210000,3,3600223000
11210000,4,3600222000
11210050,1,3600224000
11210050,2,3600223000
11210050,3,3600222000
11210100,1,3600224000
11210100,2,3600223000
11210100,3,3600222000
11210200,1,8602000000
11210200,2,3600224000
11210200,3,3600223000
11210200,4,3600222000
11211000,1,8602000000
11211000,2,3600224000
11211000,3,3600223000
11211000,4,3600222000
11211050,1,3600224000
11211050,2,3600223000
11211050,3,3600222000
11211100,1,3600224000
11211100,2,3600223000
11211100,3,3600222000
11211200,1,8602000000
11211200,2,3600224000
11211200,3,3600223000
11211200,4,3600222000
11211400,1,3600224000
11211400,2,3600223000
11211400,3,3600222000
11211500,1,3600224000
11211500,2,3600223000
11211500,3,3600222000
11212000,1,8602000000
11212000,2,3600224000
11212000,3,3600223000
11212000,4,3600222000
11212050,1,3600224000
11212050,2,3600223000
11212050,3,3600222000
11212100,1,3600224000
11212100,2,3600223000
11212100,3,3600222000
11220000,1,3600224000
11220000,2,9500362000
11220000,3,3600223000
11220000,4,101052000
11220000,5,3600222000
11220100,1,3600224000
11220100,2,9500362000
11220100,3,3600223000
11220100,4,101052000
11220100,5,3600222000
11220200,1,8602000000
11220200,2,3600224000
11220200,3,9500362000
11220200,4,3600223000
11220200,5,101052000
11220200,6,3600222000
11310000,1,9500362000
11310000,2,600350000
11310000,3,101052000
11310000,4,3600223000
11310000,5,1500125000
11310000,6,2003128000
11310000,7,2001319000
11310000,8,2002365000
11310000,9,2002330000
11320000,1,600349000
11320100,1,600349000
11320200,1,600349000
11321000,1,600349000
11321000,2,9500110000
11321100,1,600349000
11321100,2,9500110000
11321200,1,600349000
11321200,2,9500110000
11330000,1,600349000
11340000,1,1500124000
11340000,2,1400114000
11340000,3,1500123000
11340000,4,3600223000
11340000,5,9500362000
11340000,6,101052000
11340000,7,9500335000
11340000,8,603182000
11410000,1,3600224000
11410000,2,1500124000
11410000,3,3600223000
11410000,4,3600222000
11410000,5,1201090000
11410000,6,1202260000
11410000,7,1301320000
11410000,8,1302057000
11410000,9,1307359000
11410000,10,2402023000
11411010,1,3600224000
11411010,2,3600223000
11411010,3,3600222000
11411100,1,3600224000
11411100,2,3600223000
11411100,3,3600222000
11411200,1,3600224000
11411200,2,3600223000
11411200,3,3600222000
11411300,1,3600224000
11411300,2,3600223000
11411300,3,3600222000
11420000,1,3600224000
11420000,2,3600223000
11420000,3,1500124000
11420000,4,3600222000
11420000,5,1002199000
11420000,6,1902354000
11420000,7,9500115000
11420000,8,9500116000
11420000,9,9500218000
11421000,1,3600224000
11421000,2,3600223000
11421000,3,1500124000
11421000,4,3600222000
11421000,5,1002199000
11421000,6,1902354000
11421000,7,9500115000
11421000,8,9500116000
11421000,9,9500218000
11422000,1,3600224000
11422000,2,3600223000
11422000,3,1500124000
11422000,4,3600222000
11422000,5,1002199000
11422000,6,1902354000
11422000,7,9500115000
11422000,8,9500116000
11422000,9,9500218000
11422100,1,3600224000
11422100,2,3600223000
11422100,3,1500124000
11422100,4,3600222000
11422100,5,1002199000
11422100,6,1902354000
11422100,7,9500115000
11422100,8,9500116000
11422100,9,9500218000
11423000,1,3600224000
11423000,2,3600223000
11423000,3,1500124000
11423000,4,3600222000
11423000,5,1002199000
11423000,6,1902354000
11423000,7,9500115000
11423000,8,9500116000
11423000,9,9500218000
11424000,1,3600224000
11424000,2,3600223000
11424000,3,1500123000
11424000,4,3400292000
11424000,5,3100046000
11424000,6,3600222000
11424000,7,1002199000
11424000,8,1902354000
11424000,9,9500115000
11424000,10,9500116000
11424000,11,9500218000
11425000,1,3600224000
11425000,2,1500123000
11425000,3,9500110000
11425000,4,9500362000
11425000,5,101052000
11425000,6,3600223000
11425000,7,103082000
11425000,8,103298000
11425000,9,1500325000
11425000,10,1500402000
11425000,11,9500335000
11425000,12,3600222000
11426000,1,3600224000
11426000,2,1500123000
11426000,3,9500110000
11426000,4,9500362000
11426000,5,101052000
11426000,6,3600223000
11426000,7,3600222000
11426000,8,103082000
11426000,9,103298000
11426000,10,1500325000
11426000,11,1500402000
11426000,12,9500335000
11427000,1,3600224000
11427000,2,1500123000
11427000,3,9500110000
11427000,4,3600223000
11427000,5,9500362000
11427000,6,101052000
11427000,7,103082000
11427000,8,103298000
11427000,9,1500325000
11427000,10,1500402000
11427000,11,9500335000
11427000,12,1400003000
11427000,13,3600222000
11430000,1,3600224000
11430000,2,1500124000
11430000,3,3600223000
11430000,4,3600222000
11430000,5,1201090000
11430000,6,1202260000
11430000,7,1301320000
11430000,8,1302057000
11430000,9,1307359000
11430000,10,2402023000
11431000,1,3600224000
11431000,2,1500124000
11431000,3,3600223000
11431000,4,3600222000
11431000,5,1201090000
11431000,6,1202260000
11431000,7,1301320000
11431000,8,1302057000
11431000,9,1307359000
11431000,10,2402023000
11432000,1,3600224000
11432000,2,1500124000
11432000,3,3600223000
11432000,4,3600222000
11432000,5,1201090000
11432000,6,1202260000
11432000,7,1301320000
11432000,8,1302057000
11432000,9,1307359000
11432000,10,2402023000
11432500,1,3600224000
11432500,2,1500124000
11432500,3,3600223000
11432500,4,3600222000
11432500,5,1201090000
11432500,6,1202260000
11432500,7,1301320000
11432500,8,1302057000
11432500,9,1307359000
11432500,10,2402023000
11433000,1,3600224000
11433000,2,1500124000
11433000,3,3600223000
11433000,4,1201090000
11433000,5,1202260000
