Food code,Main food description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),Cholesterol (mg),"Vitamin A, RAE (mcg_RAE)",Vitamin B-6 (mg),Vitamin C (mg),Calcium (mg),"Iron
(mg)",Potassium (mg),Sodium (mg),Caffeine (mg),Alcohol (g),"Water
(g)"
11000000,"Milk, human",70,1.03,6.89,"6.89","0",4.38,14,"61",0.011,5,32,"0.03",51,17,0,0,"87.5"
11100000,"Milk, NFS",52,3.33,4.83,"4.88","0",2.14,9,"58",0.061,0.1,125,"0",156,39,0,0,"88.92"
11111000,"Milk, whole",61,3.27,4.63,"4.81","0",3.2,12,"32",0.061,0,123,"0",150,38,0,0,"88.1"
11112110,"Milk, reduced fat (2%)",50,3.36,4.9,"4.89","0",1.9,8,"83",0.061,0.2,126,"0",159,39,0,0,"89.1"
11112210,"Milk, low fat (1%)",43,3.38,5.18,"4.96","0",0.95,5,"58",0.06,0,126,"0",159,39,0,0,"89.7"
11113000,"Milk, fat free (skim)",34,3.43,4.92,"5.05","0",0.08,3,"64",0.058,0,132,"0",167,41,0,0,"90.8"
11114300,"Milk, lactose free, low fat (1%)",43,3.38,5.18,"4.96","0",0.95,5,"58",0.06,0,126,"0",159,39,0,0,"89.7"
11114320,"Milk, lactose free, fat free (skim)",34,3.43,4.92,"5.05","0",0.08,3,"64",0.058,0,132,"0",167,41,0,0,"90.8"
11114330,"Milk, lactose free, reduced fat (2%)",50,3.36,4.9,"4.89","0",1.9,8,"83",0.061,0.2,126,"0",159,39,0,0,"89.1"
11114350,"Milk, lactose free, whole",61,3.27,4.63,"4.81","0",3.2,12,"32",0.061,0,123,"0",150,38,0,0,"88.1"
11115000,"Buttermilk, fat free (skim)",40,3.31,4.79,"4.79","0",1.07,4,"14",0.034,1,116,"0.05",151,148,0,0,"90.13"
11115300,"Buttermilk, whole",62,3.21,4.88,"4.88","0",3.31,11,"47",0.036,0,115,"0.03",135,105,0,0,"87.91"
11115400,"Kefir, NS as to fat content",52,3.59,7.48,"6.91","0",0.96,5,"174",0.059,0.8,124,"0.04",159,38,0,0,"87.26"
11116000,"Goat's milk, whole",69,3.56,4.45,"4.45","0",4.14,11,"57",0.046,1.3,134,"0.05",204,50,0,0,"87.03"
11120000,"Milk, dry, reconstituted, NS as to fat content",32,3.2,4.6,"4.6","0",0.07,2,"58",0.032,0.6,114,"0.03",159,51,0,0,"91.34"
11121100,"Milk, dry, reconstituted, whole",76,4.01,5.86,"5.86","0",4.08,15,"39",0.046,1.3,142,"0.07",203,60,0,0,"85.04"
11121210,"Milk, dry, reconstituted, low fat (1%)",40,3.17,4.55,"4.55","0",1.01,4,"65",0.032,0.6,113,"0.03",157,51,0,0,"90.48"
11121300,"Milk, dry, reconstituted, fat free (skim)",32,3.2,4.6,"4.6","0",0.07,2,"1",0.032,0.6,114,"0.03",159,51,0,0,"91.34"
11210050,"Milk, evaporated, NS as to fat content",134,6.81,10.04,"10.04","0",7.56,29,"65",0.05,1.9,261,"0.19",303,106,0,0,"74.04"
11211050,"Milk, evaporated, whole",134,6.81,10.04,"10.04","0",7.56,29,"65",0.05,1.9,261,"0.19",303,106,0,0,"74.04"
11211400,"Milk, evaporated, reduced fat (2%)",92,7.42,11.15,"11.15","0",1.96,8,"131",0.054,1.2,285,"0.28",326,113,0,0,"78"
11212050,"Milk, evaporated, fat free (skim)",78,7.55,11.35,"11.35","0",0.2,4,"118",0.055,1.2,290,"0.29",332,115,0,0,"79.4"
11220000,"Milk, condensed, sweetened",321,7.91,54.4,"54.4","0",8.7,34,"74",0.051,2.6,284,"0.19",371,127,0,0,"27.16"
11300100,"Non-dairy milk, NFS",29,1.14,3.14,"2.52","0.1",1.34,0,"46",0.009,0,157,"0.33",57,53,0,0,"93.87"
11320000,Soy milk,53,3.41,5.22,"4.53","0",2.05,0,"56",0.053,0,97,"0.52",152,33,0,0,"88.7"
11320100,"Soy milk, light",38,3.55,1.29,"0.56","0",2.12,0,"58",0.055,0,101,"0.54",158,34,0,0,"92.4"
11320200,"Soy milk, nonfat",38,3.55,1.29,"0.56","0",2.12,0,"58",0.055,0,101,"0.54",158,34,0,0,"92.4"
11321000,"Soy milk, chocolate",64,3.35,8.32,"7.49","0.1",2.03,0,"54",0.051,0,94,"0.55",151,32,1,0,"85.68"
11321100,"Soy milk, light, chocolate",39,3.6,1.46,"0.56","0.1",2.15,0,"58",0.055,0,101,"0.58",162,34,1,0,"92.13"
11350000,"Almond milk, sweetened",30,0.53,4.31,"3.99","0",1.18,0,"39",0,0,166,"0.28",30,58,0,0,"93.5"
11350010,"Almond milk, sweetened, chocolate",43,0.57,7.44,"6.97","0.1",1.2,0,"38",0,0,161,"0.31",33,56,1,0,"90.32"
11350020,"Almond milk, unsweetened",15,0.55,0.34,"0","0",1.22,0,"41",0,0,173,"0.29",31,60,0,0,"97.4"
11350030,"Almond milk, unsweetened, chocolate",16,0.61,0.51,"0","0.1",1.26,0,"41",0,0,173,"0.33",35,60,1,0,"97.12"
11360000,Rice milk,47,0.28,9.17,"5.28","0.3",0.97,0,"63",0.039,0,118,"0.2",27,39,0,0,"89.28"
11370000,Coconut milk,31,0.21,2.92,"2.5","0",2.08,0,"63",0,0,188,"0.3",19,19,0,0,"94.57"
11400000,"Yogurt, NFS",63,5.25,7.04,"7.04","0",1.55,6,"14",0.049,0.8,183,"0.08",234,70,0,0,"85.06"
11400010,"Yogurt, Greek, NS as to type of milk or flavor",73,9.95,3.94,"3.56","0",1.92,10,"90",0.055,0.8,115,"0.04",141,34,0,0,"83.56"
11410000,"Yogurt, NS as to type of milk or flavor",63,5.25,7.04,"7.04","0",1.55,6,"14",0.049,0.8,183,"0.08",234,70,0,0,"85.06"
11411010,"Yogurt, NS as to type of milk, plain",63,5.25,7.04,"7.04","0",1.55,6,"14",0.049,0.8,183,"0.08",234,70,0,0,"85.06"
